Title,docking score
HOSU52,-13.9051691630153
HOSU59,-13.395515116354
HOSU56,-13.236301269533
HOSU72,-13.1881370790631
HOSU28,-13.1788906171803
HOSU24,-13.1579108514625
HOSU38,-13.0856944603008
HOSU60,-13.0158717110032
HOSU20,-12.981240141833101
HOSU70,-12.8878157177591
HOSU50,-12.8721860557224
HOSU48,-12.8658247433187
HOSU65,-12.8359267626729
HOSU63,-12.8039469471264
HOSU33,-12.759680767399699
HOSU40,-12.713904748686
HOSU39,-12.6939449550954
HOSU81,-12.6625020185705
HOSU78,-12.5985098731389
HOSU57,-12.5946878672659
HOSU42,-12.528507806765699
HOSU53,-12.5242667024537
HOSU46,-12.5220297541629
HOSU67,-12.5168135248226
HOSU69,-12.510330010265902
HOSU71,-12.5051189796844
HOSU74,-12.5017963300882
HOSU37,-12.428191217379299
HOSU79,-12.424999946672202
HOSU58,-12.3142716960121
HOSU25,-12.3130086753414
HOSU23,-12.3037396841238
HOSU35,-12.2657310482858
HOSU31,-12.2613964407295
AML-2-5,-12.254364348527501
HOSU36,-12.2516339484339
HOSU54,-12.1206312751101
HOSU49,-12.0921851240966
HOSU44,-12.070861497776502
HOSU55,-12.0442300862116
HOSU3,-12.0214965674098
HOSU22,-12.0119401218603
HOSU29,-11.9821324964095
BRQ,-11.9802069695634
HOSU21,-11.976326121181302
HOSU26,-11.898381888321602
HOSU30,-11.868716488757903
HOSU41,-11.866645971315101
AML-3-1,-11.803799518728502
AML-4-1,-11.757540147676899
HOSU27,-11.7508383676139
HOSU51,-11.720359016375902
HOSU64,-11.6507359257908
AML-4-2,-11.600482765472
HOSU32,-11.5497890013792
HOSU43,-11.5176601179472
HOSU47,-11.4879155442115
AML-4-4,-11.3503957358839
AML-4-3,-11.3276653053048
AML-2-6,-11.2696356217543
HOSU34,-11.0513009861302
HOSU45,-10.511822093815502
AML-3-3,-10.417707904377
AML-3-7,-10.369328557148702
HOSU61,-10.3011247270887
AML-5-3,-10.1733652546766
AML-5-7,-10.142563696443299
AML-1-4,-10.1304852030107
AML-4-5,-9.95858789294752
AML-3-2,-9.79533454847393
AML-3-8,-9.57516736987398
AML-2-4,-9.49255075383798
AML-3-6,-9.43604731264587
AML-1-3,-9.37961100693088
AML-3-4,-9.367551881493341
AML-1-1,-9.36405260422417
AML-5-6,-9.35487660296594
AML-5-5,-9.332687479889827
BAY2402234,-9.3167599800078
AML-3-9,-9.289919602068979
AML-4-6,-9.164418183120068
AML-4-7,-9.112366627903778
AML-3-5,-9.00856026137067
AML-5-1,-8.98267417939722
AML-2-1,-8.9425119478976
AML-2-3,-8.936954396318969
AML-5-4,-8.69460695631449
AML-2-2,-8.567364774958838
AML-5-2,-8.45335448377097
AML-1-2,-7.339223805152449
